"time","load_power_statistics","load_transparency","price_day_ahead"
2018-01-01 00:00:00,45313.9081633,43803,28.32
2018-01-01 01:00:00,44142.3469388,43342,10.07
2018-01-01 02:00:00,42825.4285714,42531,-4.08
2018-01-01 03:00:00,42276.4693878,41524,-9.91
2018-01-01 04:00:00,42205.5510204,41555,-7.41
2018-01-01 05:00:00,41956.8979592,41743,-12.55
2018-01-01 06:00:00,41102.6836735,40955,-17.25
2018-01-01 07:00:00,41524.1428571,41258,-15.07
2018-01-01 08:00:00,42384.0612245,42078,-4.93
2018-01-01 09:00:00,44587.6326531,44525,-6.33
2018-01-01 10:00:00,47347.3265306,46875,-4.93
2018-01-01 11:00:00,50052.8163265,49419,0.45
2018-01-01 12:00:00,51191.3367347,51191,0.12
2018-01-01 13:00:00,50203.9285714,50351,-0.02
2018-01-01 14:00:00,49271.9897959,49115,0
2018-01-01 15:00:00,49479.5612245,48649,-0.03
2018-01-01 16:00:00,51626,50695,1.97
2018-01-01 17:00:00,55181.1836735,54018,9.06
2018-01-01 18:00:00,56019.1938776,54788,0.07
2018-01-01 19:00:00,54557.1632653,53387,-4.97
2018-01-01 20:00:00,51957.5306122,50899,-6.98
2018-01-01 21:00:00,50253.2244898,49527,-24.93
2018-01-01 22:00:00,49510.6428571,48723,-4.87
2018-01-01 23:00:00,46437.8979592,45479,-28.93
2018-01-02 00:00:00,43401.6938776,42798,-33.57
2018-01-02 01:00:00,41505.755102,41014,-45.92
2018-01-02 02:00:00,40825.3469388,40423,-48.29
2018-01-02 03:00:00,41174.0714286,40758,-44.99
2018-01-02 04:00:00,42762.2142857,42123,-48.93
2018-01-02 05:00:00,46416.744898,45286,-29.91
2018-01-02 06:00:00,53270.9183673,51738,-0.01
2018-01-02 07:00:00,59575.4285714,58220,37.43
2018-01-02 08:00:00,63559.4183673,62178,48.06
2018-01-02 09:00:00,65474.0408163,64201,50.74
2018-01-02 10:00:00,67298.0306122,65935,47.57
2018-01-02 11:00:00,68870.4897959,67137,43.94
2018-01-02 12:00:00,69242.4795918,67956,40.97
2018-01-02 13:00:00,68485.7142857,67244,44.95
2018-01-02 14:00:00,67397.3571429,65967,49.64
2018-01-02 15:00:00,67080.7755102,65091,53.67
2018-01-02 16:00:00,68223.2755102,65969,56.01
2018-01-02 17:00:00,71119.5816327,68554,56.95
2018-01-02 18:00:00,70815.8469388,68302,62.08
2018-01-02 19:00:00,69242.3265306,66963,62.11
2018-01-02 20:00:00,65286.7653061,62769,57.99
2018-01-02 21:00:00,61848.1428571,59450,55.64
2018-01-02 22:00:00,59518.5306122,57536,55.13
2018-01-02 23:00:00,55391.244898,53711,50.76
2018-01-03 00:00:00,52325.2040816,51100,42.91
2018-01-03 01:00:00,50384.0306122,49551,45.22
2018-01-03 02:00:00,49573.2142857,49102,45.63
2018-01-03 03:00:00,50260.9387755,49728,44
2018-01-03 04:00:00,51975.7755102,51321,43.88
2018-01-03 05:00:00,54872.0102041,54319,45.92
2018-01-03 06:00:00,60935.4183673,60554,51.07
2018-01-03 07:00:00,66280.5612245,65454,52.77
2018-01-03 08:00:00,69929.6428571,68919,62.89
2018-01-03 09:00:00,71290.1530612,70505,60.03
2018-01-03 10:00:00,72605.755102,71783,58.19
2018-01-03 11:00:00,73709.5102041,73236,62.99
2018-01-03 12:00:00,73442.9489796,72869,63.52
2018-01-03 13:00:00,72620.1326531,71987,64.67
2018-01-03 14:00:00,71075.8877551,70760,65.24
2018-01-03 15:00:00,70668.9591837,69826,67.76
2018-01-03 16:00:00,72047.3469388,70932,68.41
2018-01-03 17:00:00,74987.255102,73381,69.55
2018-01-03 18:00:00,74710.6326531,73109,67.28
2018-01-03 19:00:00,72577.9183673,70833,69.46
2018-01-03 20:00:00,68546.1530612,67109,68.38
2018-01-03 21:00:00,65267.9591837,64206,61.72
2018-01-03 22:00:00,62405.9081633,61907,53.72
2018-01-03 23:00:00,58298.877551,57676,49.98
2018-01-04 00:00:00,54847.6836735,53759,50.73
2018-01-04 01:00:00,52396.4897959,51792,47.11
2018-01-04 02:00:00,51204.6428571,50573,47.07
2018-01-04 03:00:00,51551.5102041,50908,46.94
2018-01-04 04:00:00,52518.4591837,51866,47
2018-01-04 05:00:00,55094.9387755,54039,46.91
2018-01-04 06:00:00,60850,59144,49.59
2018-01-04 07:00:00,66534,65025,55.32
2018-01-04 08:00:00,69664.8265306,67883,55.78
2018-01-04 09:00:00,70708.2040816,67933,55.52
2018-01-04 10:00:00,71846.755102,69344,55.23
2018-01-04 11:00:00,72974.8163265,70346,53.58
2018-01-04 12:00:00,72859.6734694,70196,51.74
2018-01-04 13:00:00,71909.6530612,69297,51.6
2018-01-04 14:00:00,70594.5918367,67833,51.41
2018-01-04 15:00:00,70311.5714286,67076,51.69
2018-01-04 16:00:00,71464.9081633,67481,52.59
2018-01-04 17:00:00,73192.8571429,69235,54.66
2018-01-04 18:00:00,72385.8469388,68620,54.1
2018-01-04 19:00:00,70585.0816327,67306,51.89
2018-01-04 20:00:00,66784.4795918,64932,46.58
2018-01-04 21:00:00,63606.9081633,62114,45.43
2018-01-04 22:00:00,60963.8877551,60907,43.96
2018-01-04 23:00:00,56753.8061224,56469,31.41
2018-01-05 00:00:00,53445.0612245,53007,26.9
2018-01-05 01:00:00,51493.0510204,51052,25.12
2018-01-05 02:00:00,51033.4897959,50193,24.12
2018-01-05 03:00:00,51475.3367347,50254,22.04
2018-01-05 04:00:00,52721.3673469,51466,18.37
